Season;date;N;N7;age;flu_pick
2014-2015;2014-12-31;52;252;Older than 64;
2014-2015;2015-01-01;55;985;Total;
2014-2015;2015-01-01;9;408;Younger than 15;
2014-2015;2015-01-01;24;314;Between 15 and 64;
2014-2015;2015-01-01;22;263;Older than 64;
2014-2015;2015-01-02;289;1225;Total;
2014-2015;2015-01-02;111;509;Younger than 15;
2014-2015;2015-01-02;102;393;Between 15 and 64;
2014-2015;2015-01-02;76;323;Older than 64;
2014-2015;2015-01-03;55;1218;Total;
2014-2015;2015-01-03;7;501;Younger than 15;
2014-2015;2015-01-03;21;393;Between 15 and 64;
2014-2015;2015-01-03;27;324;Older than 64;
2014-2015;2015-01-04;40;1224;Total;
2014-2015;2015-01-04;9;499;Younger than 15;
2014-2015;2015-01-04;15;395;Between 15 and 64;
2014-2015;2015-01-04;16;330;Older than 64;
2014-2015;2015-01-05;275;1164;Total;
2014-2015;2015-01-05;104;443;Younger than 15;
2014-2015;2015-01-05;98;389;Between 15 and 64;
2014-2015;2015-01-05;73;332;Older than 64;
2014-2015;2015-01-06;47;937;Total;
2014-2015;2015-01-06;6;316;Younger than 15;
2014-2015;2015-01-06;22;336;Between 15 and 64;
2014-2015;2015-01-06;19;285;Older than 64;
2014-2015;2015-01-07;321;1082;Total;
2014-2015;2015-01-07;113;359;Younger than 15;
2014-2015;2015-01-07;113;395;Between 15 and 64;
2014-2015;2015-01-07;95;328;Older than 64;
2014-2015;2015-01-08;286;1313;Total;
2014-2015;2015-01-08;94;444;Younger than 15;
2014-2015;2015-01-08;95;466;Between 15 and 64;
2014-2015;2015-01-08;97;403;Older than 64;
2014-2015;2015-01-09;277;1301;Total;
2014-2015;2015-01-09;95;428;Younger than 15;
2014-2015;2015-01-09;79;443;Between 15 and 64;
2014-2015;2015-01-09;103;430;Older than 64;
2014-2015;2015-01-10;52;1298;Total;
2014-2015;2015-01-10;13;434;Younger than 15;
2014-2015;2015-01-10;22;444;Between 15 and 64;
2014-2015;2015-01-10;17;420;Older than 64;
2014-2015;2015-01-11;30;1288;Total;
2014-2015;2015-01-11;1;426;Younger than 15;
2014-2015;2015-01-11;15;444;Between 15 and 64;
2014-2015;2015-01-11;14;418;Older than 64;
2014-2015;2015-01-12;324;1337;Total;
2014-2015;2015-01-12;99;421;Younger than 15;
2014-2015;2015-01-12;127;473;Between 15 and 64;
