date;N;N7;age
2016-05-19;28;171;Total
2016-05-20;12;152;Total
2016-05-21;13;157;Total
2016-05-22;6;154;Total
2016-05-23;27;168;Total
2016-05-24;22;149;Total
2016-05-25;26;134;Total
2016-05-26;12;118;Total
2016-05-27;12;118;Total
2016-05-28;5;110;Total
2016-05-29;3;107;Total
2016-05-30;21;101;Total
2016-05-31;17;96;Total
2016-06-01;19;89;Total
2016-06-02;15;92;Total
2016-06-03;14;94;Total
2016-06-04;9;98;Total
2016-06-05;6;101;Total
2016-06-06;24;104;Total
2016-06-07;10;97;Total
2016-06-08;13;91;Total
2016-06-09;13;89;Total
2016-06-10;7;82;Total
2016-06-11;7;80;Total
2016-06-12;2;76;Total
2016-06-13;21;73;Total
2016-06-14;11;74;Total
2016-06-15;12;73;Total
2016-06-16;7;67;Total
2016-06-17;6;66;Total
2016-06-18;3;62;Total
2016-06-19;3;63;Total
2016-06-20;18;60;Total
2016-06-21;10;59;Total
2016-06-22;6;53;Total
2016-06-23;6;52;Total
2016-06-24;5;51;Total
2016-06-25;6;54;Total
2016-06-26;4;55;Total
2016-06-27;6;43;Total
2016-06-28;4;37;Total
2016-06-29;9;40;Total
2016-06-30;7;41;Total
2016-07-01;5;41;Total
2016-07-02;3;38;Total
2016-07-03;3;37;Total
2016-07-04;13;44;Total
2016-07-05;9;49;Total
2016-07-06;4;44;Total
2016-07-07;6;43;Total
2016-07-08;6;44;Total
2016-07-09;2;43;Total
2016-07-10;3;43;Total
2016-07-11;7;37;Total
2016-07-12;5;33;Total
2016-07-13;8;37;Total
2016-07-14;7;38;Total
2016-07-15;6;38;Total
2016-07-16;4;40;Total
2016-07-17;3;40;Total
2016-07-18;10;43;Total
2016-07-19;9;47;Total
2016-07-20;12;51;Total
2016-07-21;4;48;Total
2016-07-22;6;48;Total
2016-07-23;0;44;Total
2016-07-24;1;42;Total
2016-07-25;5;37;Total
2016-07-26;11;39;Total
2016-07-27;5;32;Total
2016-07-28;7;35;Total
2016-07-29;8;37;Total
2016-07-30;3;40;Total
2016-07-31;3;42;Total
2016-08-01;6;43;Total
2016-08-02;1;33;Total
2016-08-03;2;30;Total
2016-08-04;9;32;Total
2016-08-05;8;32;Total
2016-08-06;4;33;Total
2016-08-07;5;35;Total
2016-08-08;11;40;Total
2016-08-09;6;45;Total
2016-08-10;10;53;Total
2016-08-11;7;51;Total
2016-08-12;4;47;Total
2016-08-13;6;49;Total
2016-08-14;5;49;Total
